instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt_binary
90,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0
91,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,0
92,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,0
93,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0
94,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0
95,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0
96,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0
97,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0
98,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0
99,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,0
100,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,1
101,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,0
102,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,0
103,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,0
104,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,0
105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,0
106,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,0
107,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,0
108,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,0
109,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,1
110,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,1
111,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,0
112,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,0
113,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,0
114,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,0
115,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,0
116,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0
117,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0
118,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0
119,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0
120,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0
121,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0
122,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0
123,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,1
124,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,0
125,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,0
126,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,0
127,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,0
128,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,0
129,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,0
130,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,0
131,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,0
132,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,1
133,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,1
134,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,0
135,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,0
136,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0
137,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,0
138,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,0
139,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,0
140,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,0
141,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0
142,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0
143,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0
144,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,0
145,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,0
146,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,1
147,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,0
148,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,0
149,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,0
150,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,0
151,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,0
152,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,0
153,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,0
154,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,0
155,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,1
156,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,0
157,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,0
158,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,0
159,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0
160,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,0
161,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,0
162,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,0
163,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,0
164,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,0
165,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0
166,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0
167,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0
168,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0
169,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,0
170,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0
171,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0
172,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,0
173,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,0
174,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,0
175,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,0
176,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,0
177,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,0
178,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,0
179,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,0
180,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,0
181,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,0
182,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0
183,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,0
184,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,0
185,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0
186,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,0
187,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0
188,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0
189,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0
190,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0
191,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0
192,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0
193,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,0
194,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0
195,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0
196,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0
197,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,0
198,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,0
199,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,0
200,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,0
201,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,0
202,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,0
203,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,0
204,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,0
205,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,0
206,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0
207,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,0
208,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,0
209,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0
210,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,0
211,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,0
212,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0
213,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0
214,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,0
215,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0
216,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0
217,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,0
218,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,1
219,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,0
220,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0
221,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,0
222,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,0
223,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,0
224,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0
225,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,0
226,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,0
227,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,1
228,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1
229,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,0
230,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,0
231,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,0
232,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,0
233,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0
234,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,0
235,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0
236,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0
237,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0
238,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0
239,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,0
240,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,1
241,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,0
242,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,0
243,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,0
244,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,0
245,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,0
246,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,0
247,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,0
248,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,0
249,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,0
250,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,0
251,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0
252,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0
253,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0
254,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,0
255,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,0
256,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0
257,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0
258,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0
259,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0
260,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0
261,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0
262,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,0
263,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,0
264,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0
265,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,0
266,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,0
267,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0
268,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0
269,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,0
270,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,0
271,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0
272,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,0
273,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,0
274,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,0
275,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0
276,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,0
277,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,0
278,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,0
279,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0
280,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0
281,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0
282,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0
283,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0
284,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0
285,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0
286,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,1
287,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,0
288,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,0
289,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,0
290,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,0
291,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,0
292,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,0
293,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,0
294,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,0
295,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,1
296,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,1
297,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,0
298,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0
299,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0
300,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0
301,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,0
302,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0
303,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0
304,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0
305,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0
306,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,0
307,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,0
308,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,0
309,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,1
310,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,0
311,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,0
312,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,0
313,1,0,1,12,0,5,1,1,0.2,0.197,0.44,0.2537,0
314,1,0,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,0
315,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,0
316,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,0
317,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,0
318,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,1
319,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0.0,0
320,1,0,1,19,0,5,1,1,0.16,0.197,0.59,0.0896,0
321,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0.0,0
322,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0.0,0
323,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0.0,0
324,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0.0,0
325,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0.0,0
326,1,0,1,1,0,6,0,2,0.16,0.197,0.59,0.0896,0
327,1,0,1,2,0,6,0,2,0.16,0.197,0.59,0.0896,0
328,1,0,1,3,0,6,0,2,0.16,0.2273,0.59,0.0,0
329,1,0,1,4,0,6,0,2,0.16,0.2273,0.59,0.0,0
330,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0.0,0
331,1,0,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045,0
332,1,0,1,7,0,6,0,1,0.14,0.2121,0.63,0.0,0
333,1,0,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343,0
334,1,0,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343,0
335,1,0,1,10,0,6,0,1,0.18,0.197,0.59,0.1642,0
336,1,0,1,11,0,6,0,1,0.2,0.197,0.55,0.2239,0
337,1,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239,0
338,1,0,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985,0
339,1,0,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836,0
340,1,0,1,15,0,6,0,2,0.32,0.3182,0.36,0.194,0
341,1,0,1,16,0,6,0,2,0.34,0.3333,0.34,0.194,0
342,1,0,1,17,0,6,0,2,0.32,0.303,0.36,0.2836,0
343,1,0,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537,0
344,1,0,1,19,0,6,0,2,0.32,0.303,0.39,0.2537,0
345,1,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537,0
346,1,0,1,21,0,6,0,2,0.32,0.303,0.39,0.2239,0
347,1,0,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045,0
348,1,0,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836,0
349,1,0,1,0,0,0,0,1,0.26,0.303,0.56,0.0,0
350,1,0,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343,0
351,1,0,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896,0
352,1,0,1,3,0,0,0,1,0.22,0.2727,0.69,0.0,0
353,1,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642,0
354,1,0,1,5,0,0,0,2,0.26,0.2576,0.56,0.1642,0
355,1,0,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642,0
356,1,0,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985,0
357,1,0,1,8,0,0,0,1,0.22,0.2121,0.55,0.2836,0
358,1,0,1,9,0,0,0,1,0.22,0.2121,0.51,0.2537,0
359,1,0,1,10,0,0,0,1,0.22,0.2121,0.51,0.2836,0
360,1,0,1,11,0,0,0,1,0.24,0.2273,0.44,0.2537,0
361,1,0,1,12,0,0,0,1,0.24,0.2121,0.41,0.2836,0
362,1,0,1,13,0,0,0,1,0.26,0.2273,0.35,0.2985,0
363,1,0,1,14,0,0,0,1,0.28,0.2727,0.36,0.2537,0
364,1,0,1,15,0,0,0,1,0.26,0.2424,0.38,0.2537,0
365,1,0,1,16,0,0,0,1,0.24,0.2273,0.38,0.2239,0
366,1,0,1,17,0,0,0,1,0.22,0.2121,0.37,0.2537,0
367,1,0,1,18,0,0,0,1,0.2,0.2121,0.4,0.1642,0
368,1,0,1,19,0,0,0,1,0.18,0.197,0.47,0.1343,0
